position,matchday,team,wins,draws,losses,goals_for,goals_against,goal_difference,points
5,18,Univ. Craiova,7,7,4,28,19,9,28
6,18,Petrolul Ploiesti,6,9,3,19,15,4,27
7,18,Sepsi Sf. Gheorghe,7,5,6,25,21,4,26
8,18,Rapid Bucuresti,5,10,3,22,17,5,25
9,18,Otelul Galati,5,8,5,14,16,-2,23
10,18,UTA Arad,5,6,7,16,19,-3,21
11,18,Farul Constanta,5,6,7,17,24,-7,21
12,18,Poli Iasi,6,3,9,18,26,-8,21
13,18,FC Hermannstadt,5,4,9,21,31,-10,19
14,18,FC Botosani,4,6,8,15,23,-8,18
15,18,Unirea Slobozia,5,3,10,15,25,-10,18
16,18,Gloria Buzau,4,4,10,18,28,-10,16
1,19,'U' Cluj,9,6,4,28,17,11,33
2,19,FCSB,9,6,4,29,20,9,33
3,19,Dinamo Bucuresti,8,8,3,28,19,9,32
4,19,CFR Cluj,8,7,4,32,23,9,31
5,19,Univ. Craiova,7,8,4,29,20,9,29
6,19,Sepsi Sf. Gheorghe,8,5,6,27,21,6,29
7,19,Petrolul Ploiesti,6,10,3,20,16,4,28
8,19,Rapid Bucuresti,5,10,4,22,19,3,25
9,19,Otelul Galati,5,8,6,14,17,-3,23
10,19,Farul Constanta,5,7,7,19,26,-7,22
11,19,Poli Iasi,6,4,9,20,28,-8,22
12,19,FC Hermannstadt,6,4,9,22,31,-9,22
13,19,UTA Arad,5,6,8,19,23,-4,21
14,19,Unirea Slobozia,6,3,10,19,28,-9,21
15,19,FC Botosani,4,6,9,16,25,-9,18
16,19,Gloria Buzau,4,4,11,18,29,-11,16
